throuphput_KLONGTEI,throuphput_KASEMRAT,throuphput_NARANONG,throuphput_SUNLAKAKHON,throuphput_RAMA4,throuphput,mean_speed,jamlength_percent
0,8,3,5,6,22,0.3158046636753087,40.22195082207027
6,10,0,0,4,20,0.295272862841557,40.066550947246604
1,1,1,17,5,25,0.3130167575715506,39.946307849608345
3,6,5,7,1,22,0.34644645599078666,39.557557516235256
0,0,7,4,4,15,0.3326601679683509,39.834648019390094
5,10,0,1,2,18,0.3410609883691841,39.768854094311706
0,8,5,3,14,36,0.3925820770551806,39.90830048876793
8,8,4,1,1,22,0.4223218206486058,39.555614102048786
8,3,0,6,3,22,0.33147089154459225,40.14824415012736
1,9,6,6,1,23,0.3292745187174048,40.49501241100948
3,2,5,17,0,32,0.33629832379423813,40.222246944154875
0,6,6,5,16,39,0.370004055162885,39.8863077014444
1,4,2,1,0,8,0.2674395938371135,40.17778448691443
